hour,pv_total_kwh,e_pv_kwh,e_g_kwh,e_total_kwh,export_kwh,grid_price,sell_price,ppa_price,hourly_cost,Vc_m3,V_m3,Vpump_m3,n_on
0,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-938.6249999999987,49061.375,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-938.6249999999987,48122.75,0.0,0
2,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-938.6249999999987,47184.125,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-938.6249999999987,46245.5,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1041.5249999999992,45203.975,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1041.5249999999992,44162.45,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1041.5249999999992,43120.925,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1041.5249999999992,42079.4,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1028.6624999999983,41050.738,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1028.6624999999983,40022.076,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1028.6624999999983,38993.414,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1028.6624999999983,37964.752,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1020.0874999999987,36944.665,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1020.0874999999987,35924.578,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1020.0874999999987,34904.491,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1020.0874999999987,33884.404,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1020.0874999999987,32864.317,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1020.0874999999987,31844.23,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1020.0874999999987,30824.143,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.18167113899999998,0.089,0.0495,0.0,-1020.0874999999987,29804.056,0.0,0
20,0.9129994409221174,0.0,0.0,0.0,0.913,0.18167113899999998,0.089,0.0495,-0.081257,-1007.2250000000013,28796.831,0.0,0
21,0.9129994409221174,0.0,0.0,0.0,0.913,0.18167113899999998,0.089,0.0495,-0.081257,-1007.2250000000013,27789.606,0.0,0
22,0.9129994409221174,0.0,0.0,0.0,0.913,0.18167113899999998,0.089,0.0495,-0.081257,-1007.2250000000013,26782.381,0.0,0
23,0.9129994409221174,0.0,0.0,0.0,0.913,0.18167113899999998,0.089,0.0495,-0.081257,-1007.2250000000013,25775.156,0.0,0
24,11.023433986115935,0.0,0.0,0.0,11.023,0.18167113899999998,0.089,0.0495,-0.9810469999999999,-1002.9374999999976,24772.219,0.0,0
25,11.023433986115935,0.0,0.0,0.0,11.023,0.18167113899999998,0.089,0.0495,-0.9810469999999999,-1002.9374999999976,23769.282,0.0,0
26,11.023433986115935,0.0,0.0,0.0,11.023,0.18167113899999998,0.089,0.0495,-0.9810469999999999,-1002.9374999999976,22766.345,0.0,0
27,11.023433986115935,0.0,0.0,0.0,11.023,0.18167113899999998,0.089,0.0495,-0.9810469999999999,-1002.9374999999976,21763.408,0.0,0
28,51.49495770183136,51.495,28.655,80.15,0.0,0.18167113899999998,0.089,0.0495,7.754788988045,-868.6087500000011,21473.871,579.072,2
29,51.49495770183136,40.075,0.0,40.075,11.42,0.18167113899999998,0.089,0.0495,0.9673325000000004,-868.6087500000011,20894.798,289.536,1
30,51.49495770183136,40.075,0.0,40.075,11.42,0.18167113899999998,0.089,0.0495,0.9673325000000004,-868.6087500000011,20315.725,289.536,1
31,51.49495770183136,40.075,0.0,40.075,11.42,0.18167113899999998,0.089,0.0495,0.9673325000000004,-868.6087500000011,19736.652,289.536,1
32,106.60237263276451,106.602,13.623,120.225,0.0,0.18167113899999998,0.089,0.0495,7.751704926597,0.0,20605.26,868.608,3
33,106.60237263276451,106.602,13.623,120.225,0.0,0.18167113899999998,0.089,0.0495,7.751704926597,0.0,21473.868,868.608,3
34,106.60237263276451,106.602,51.123,157.725,0.0,0.18167113899999998,0.089,0.0495,14.564372639097,0.0,22587.851,1113.983,4
